 mass  c00  c01  c02  c03  c04  c05  c06  c07  c08  c09  c10
100.4   20  117  280  776    0    8    0    0    0    0    0
101.2   23  156  246  710    0    8    0    2    0    0    0
102.0   20  147  277  616    2    6    0    0    0    0    1
102.8   33  121  251  610    0    7    0    0    0    0    0
103.6   29  114  261  623    1    9    0    0    1    0    1
104.4   18  119  245  559    1    2    0    0    0    0    0
105.2   19  127  212  570    0    6    2    0    0    1    0
106.0   12  123  206  545    0    7    0    0    1    0    2
106.8   25  126  200  540    1    4    0    1    0    0    1
107.6   18   91  186  496    0    4    0    0    0    1    2
108.4   14  114  221  476    1    0    0    0    1    0    0
109.2   18  104  185  487    0    2    1    0    0    0    1
110.0   15   94  194  491    0    4    0    0    0    0    1
110.8   14   84  200  433    1    6    0    0    0    0    1
111.6   16  110  192  401    1    4    0    0    0    0    0
112.4   14   90  161  447    0    2    0    0    0    0    1
113.2   15   84  171  363    0    6    0    2    0    0    1
114.0   22   71  158  398    0    6    0    0    0    0    0
114.8   14   95  161  337    1    2    1    0    1    2    1
115.6   15   84  162  391    0    4    0    0    0    0    0
116.4   12   65  142  395    1    4    0    0    0    0    1
117.2   13   72  132  334    1    4    0    0    0    0    0
118.0   12   80  150  294    0    3    0    0    0    0    0
118.8    7   59  141  310    0    7    0    0    0    0    0
119.6    6   56  131  317    0    2    0    0    0    0    0
120.4    8   73  124  282    0    3    0    0    1    0    0
121.2    9   68  122  284    0    3    0    0    0    0    0
122.0   14   68  137  283    1    5    0    0    0    0    0
122.8   13   69  122  262    3    4    0    0    1    0    2
123.6   11   71  105  282    1    3    0    0    0    1    1
124.4    9   55  132  277    1    3    0    0    1    0    0
125.2   14   64  125  272    3    6    0    1    0    0    0
126.0   11   56   82  229    1    4    0    0    0    0    1
126.8    7   51   98  239    0    1    0    1    0    0    4
127.6    7   38  107  228    1    1    0    0    0    0    0
128.4    4   49   97  252    0    1    1    0    0    0    0
129.2    8   42   88  208    0    1    0    0    0    0    0
130.0    6   36   83  202    0    4    0    0    0    0    0
130.8    6   35   79  212    0    1    0    0    0    0    0
131.6    4   44   88  186    0    3    0    0    0    0    0
132.4    5   58   83  169    0    0    0    0    0    0    0
133.2    4   48   92  176    0    2    0    0    0    0    0
134.0    6   44   78  188    0    1    0    0    0    0    2
134.8   11   24   90  171    0    5    0    0    0    1    0
135.6   16   52   83  165    1    1    0    0    0    0    1
136.4    4   32   71  148    0    0    0    0    0    0    0
137.2   11   43   71  151    0    3    0    1    0    0    0
138.0    3   37   75  154    1    3    0    0    0    0    0
138.8    3   35   80  164    0    2    0    1    0    0    0
139.6    1   31   71  138    0    1    0    0    0    0    0
140.4    7   28   50  135    0    2    0    0    0    0    0
141.2    2   30   72  161    0    1    0    0    0    1    1
142.0    7   23   56  144    0    2    0    0    1    0    0
142.8    3   31   67  125    0    3    0    0    0    0    2
143.6    5   24   44  129    0    2    0    0    0    1    0
144.4    6   28   61  116    0    1    0    0    0    1    0
145.2    4   30   54  150    0    0    0    0    0    0    0
146.0    3   30   54  108    0    0    0    0    0    0    0
146.8    5   16   46  122    1    3    0    0    0    0    0
147.6    2   19   57  110    0    0    0    0    0    0    0
148.4    5   27   49  110    1    2    0    0    0    0    0
149.2    3   29   52  117    0    2    0    0    1    0    0
150.0    5   22   37   96    1    0    0    0    0    0    0
150.8    2   42   33  112    0    3    0    0    0    0    0
151.6    2   23   53   87    0    3    1    1    0    0    0
152.4    5   29   54   97    0    2    0    0    1    0    0
153.2    4   30   53   96    1    1    0    0    0    0    0
154.0    4   22   38   96    0    2    0    0    0    0    0
154.8    1   21   38   91    1    0    0    1    0    0    0
155.6    1   28   34   80    0    0    0    0    0    0    0
156.4    2   24   32   80    0    2    0    0    0    0    0
157.2    5   18   39   83    0    1    0    0    0    0    0
158.0    5   17   43   79    0    3    0    1    0    0    0
158.8    0   23   38   92    0    1    0    0    0    0    0
159.6    3   15   34   56    0    1    0    1    0    0    0
160.4    2   25   37   85    0    2    0    0    0    0    0
161.2    2   15   37   68    0    2    0    0    0    0    1
162.0    2   23   34   70    0    0    0    0    0    0    0
162.8    4   13   39   86    0    1    0    0    0    0    0
163.6    4   18   42   71    0    0    0    0    0    0    0
164.4    4   15   29   61    0    0    0    0    0    0    0
165.2    0   17   35   63    0    2    0    0    0    0    0
166.0    2   12   18   65    0    2    0    1    0    0    0
166.8    4   19   27   54    0    0    0    0    0    0    0
167.6    1   12   25   62    0    0    0    0    0    0    0
168.4    3   16   31   71    0    1    0    0    0    0    0
169.2    3   12   27   55    1    1    0    0    0    0    0
170.0    1   15   29   58    0    1    0    0    0    0    0
170.8    0   10   30   63    0    0    0    0    0    0    0
171.6    2    8   23   59    0    0    0    0    0    0    0
172.4    5   19   20   58    0    0    0    0    0    0    0
173.2    1   12   20   62    0    1    0    0    0    0    0
174.0    1   12   29   60    0    0    0    0    0    0    1
174.8    0    8   27   50    0    0    0    0    1    0    0
175.6    3   18   27   56    0    1    0    0    0    0    1
176.4    1   11   26   29    0    0    0    0    0    0    0
177.2    2   14   17   53    0    0    0    0    1    0    0
178.0    1   13   24   53    0    1    0    0    0    0    0
178.8    0   10   23   46    0    0    0    0    0    0    0
179.6    1   12   21   42    0    0    0    0    0    0    0
