 mass  c00  c01  c02  c03  c04  c05  c06  c07  c08  c09  c10  c11  c12  c13
100.4    7  233  823 1946 3380    1    6   44    1    2    4    0    1    1
101.2    7  228  816 1829 3323    0    6   36    1    1    2    0    1    2
102.0   14  242  800 1711 3219    1    7   33    0    1    1    0    0    2
102.8   13  201  790 1617 3122    3    1   18    0    4    3    0    1    0
103.6    7  223  752 1567 2893    0    0   38    1    1    3    0    1    2
104.4    7  205  671 1658 2830    0    1   40    0    0    1    0    2    2
105.2   12  203  682 1519 2621    0    3   31    0    0    1    0    1    1
106.0   10  187  668 1463 2495    3    7   32    0    0    2    1    1    0
106.8   12  181  651 1445 2424    0    2   31    0    1    1    0    1    2
107.6    8  199  645 1373 2470    3    5   20    1    0    0    0    0    1
108.4    9  150  620 1321 2273    0    5   33    0    3    2    0    1    0
109.2   13  181  578 1283 2241    1    4   32    2    2    0    0    0    2
110.0    6  168  580 1240 2058    1    4   25    0    1    3    1    0    2
110.8    5  167  522 1168 2056    1    4   42    3    2    0    0    0    2
111.6    8  175  589 1147 1996    1    5   31    0    3    1    0    0    1
112.4    6  165  533 1146 1960    0    4   33    0    5    0    0    0    0
113.2    6  146  477 1040 1815    0    4   26    0    2    2    0    0    2
114.0    2  147  478 1004 1769    1    4   22    0    1    3    0    1    0
114.8    5  130  522  983 1733    0    3   27    0    1    0    0    1    0
115.6    2  145  460  945 1607    1    1   28    0    2    0    0    0    0
116.4    4  136  430  945 1574    2    3   18    0    0    2    0    0    0
117.2    2  120  445  932 1616    1    5   22    0    1    1    0    1    2
118.0    5  123  440  893 1519    0    2   13    0    0    4    0    0    2
118.8    2  131  419  814 1401    0    1   20    0    2    0    0    1    1
119.6    4  120  410  845 1431    1    3   20    1    3    0    0    2    1
120.4    3  107  362  892 1338    1    4   20    1    1    2    0    1    0
121.2    5  113  395  776 1241    0    2   19    0    1    1    0    0    0
122.0    5  104  394  792 1271    1    6   16    0    0    1    0    0    2
122.8    4   98  360  804 1208    1    2   27    0    0    1    0    0    1
123.6    3   92  381  782 1182    1    2   23    0    1    1    0    1    0
